"id_loan","saldo","motivo"
"9832255d-85db-4871-987f-a70c7625e186","2189.11","Doble producto en otra fase"
"ac2092e5-617b-44af-9647-677eaed162c5","474.06","Grupo de control"
"c6b63740-e64a-470a-9479-4087d03cefcd","1008.58","Grupo de control"
"d6a97829-3635-4b16-aece-41f7f89611bf","494.75","Sin asignar"
"fbee4374-1209-476b-9256-ca9c2b3f47da","427.63","Sin asignar"
"fc803cf9-c224-4bfc-aaeb-c2916d1dc71c","4252.44","Sin asignar"
"fd6f6442-6da3-4efb-8bba-7dd75a7139af","118.45","Sin asignar"
"279fc1b1-a6bd-459c-be09-a082814b7eec","1999.36","Grupo de control"
"2b9198af-df2e-4512-96db-3d19ae9d48ac","2225.84","Grupo de control"
"64ad536f-7830-4e6f-99a9-b95e4078cada","329.93","Sin asignar"
"702c4029-dd76-432d-ba88-90c32a8b749c","3399.87","Grupo de control"
"cf185791-f94d-468d-829a-cb6063e7d194","1984.49","Grupo de control"
"dcbdc5ce-1fcb-4291-a8d4-06376f216630","4040.4","Grupo de control"
"c0ccde7b-38a0-4c94-98cf-58dfe4748f4d","361.8","Sin asignar"
"a8f5cf73-17a1-4c55-b21b-f8ed9e7d6ffc","1020.35","Grupo de control"
"86fa1526-037d-40ac-9e9f-2fde7e6bd744","11559.36","Grupo de control"
"7ba4d72b-e596-4380-880f-3e275e51c8aa","1089.61","Grupo de control"
"b06fdce7-362d-4952-b910-d25ee86a9ff4","797.13","Grupo de control"
"c26138a1-cc90-4df9-80a7-03901b524386","394.86","Sin asignar"
"c673b767-7a58-438a-aabf-96487d86ee17","1135.53","Grupo de control"
"fc266710-1c7f-4441-858b-bc4c99f331dc","786.53","Grupo de control"
"a9a92dd1-1186-4dd9-9262-8b5d9c67ae1e","1200.98","Sin asignar"
"f96db423-5e64-45ea-bfdb-f1dcaf5a3710","287.27","Sin asignar"
"0aaf82e2-89cb-48eb-8c86-a13bc71832d3","304.72","Grupo de control"
"19ea7b36-c896-4a1e-8b32-ce3183c204fe","608.76","Grupo de control"
"66fea02a-6907-415b-81f6-60c39c194c67","921.53","Grupo de control"
"9066425b-bfd6-413a-bf18-715c8949250a","854.47","Grupo de control"
"9de1c0db-ecff-4ec1-aad5-65186eac729d","814.45","Sin asignar"
"c452de70-a7d6-4030-9cf3-b85869460634","1177.62","Sin asignar"
"e227ff57-b6dc-4d18-bf34-f90d2f9e6200","1317.52","Grupo de control"
"0d8f2a9e-c19d-42dc-bf90-6bbdef0d4429","9325.71","Grupo de control"
"c1717b3c-ffa7-42fd-91b9-88e03966007e","2997.28","Doble producto en otra fase"
"113169e6-53a4-463f-af5f-39b21730bb84","2790.93","Grupo de control"
"5eeb91b1-5056-4ec7-a0ae-31a516e4dc69","1705.68","Grupo de control"
"7153e5c6-69a2-4229-a36a-4c9751e0cc46","949.49","Grupo de control"
"75701e4f-ff00-4295-8c8b-a35bb656eaf6","363.09","Grupo de control"
"8818d7b7-3c67-49aa-867b-213adccef726","1847.22","Grupo de control"
"c95acb5c-5e0d-4088-87e5-6dad6590bf41","210.48","Sin asignar"
"d6ca8356-c665-4f44-8802-ff1e9f8eafcf","1578.0","Grupo de control"
"eb6b8720-3409-4320-bcad-59cc769ed2dc","1114.8","Sin asignar"
"7005fd42-8eb2-4c01-af3d-8f9645b4184f","1702.69","Grupo de control"
"4c544557-1804-461f-893a-7c38204d8fa2","967.3","Sin asignar"
"13d7647b-c93b-474f-8e99-a4993b51258e","5175.4","Sin asignar"
"2a333ee2-b220-46f7-929e-28fe2d44aab2","650.51","Sin asignar"
"b33c140c-fff7-4f93-a4c9-2fa665e514ba","944.7","Grupo de control"
"f278eb84-b9c4-418e-b0b5-521a70037667","129.89","Sin asignar"
"f4ba0904-66ad-401a-b667-94734e4e7416","782.45","Sin asignar"
"fea508a2-dbff-4b20-9240-21502f9bba8c","4649.01","Grupo de control"
"8796a8ed-f814-4039-b905-beb8653e28ce","6661.61","Grupo de control"
"dae6de9a-4597-4ead-b73d-6ec843d2ccfd","1034.12","Grupo de control"
"61f620d6-057c-4ed5-9e6b-a002a99a81c0","1053.36","Sin asignar"
"0a1b61f0-257e-4169-a902-2baad55410c4","567.85","Sin asignar"
"0aa3bc23-f7ae-4066-95b6-756575d57418","819.4","Sin asignar"
"25c540ae-c6ee-4bc2-a94b-a99b5dc06f6d","1720.94","Grupo de control"
"3939b180-2e9b-4afb-bba2-246e580cb3be","754.73","Grupo de control"
"4ae99310-839f-4fce-b7b5-fb69fbe5617f","2651.26","Grupo de control"
"54dd648b-862f-4b9f-a00b-a723b37707d3","1141.42","Grupo de control"
"58eddd9e-df6d-4f37-9d47-8dfe2f5fb979","1361.88","Doble producto en otra fase"
"5b53f2b9-8bb6-4832-811f-1b84225fcc83","193.05","Escalado, fase fija (sin otro credito del cliente)"
"75684814-6b94-4407-befa-0d297a0e5a0b","1248.42","Grupo de control"
"4ba2a4f0-80c7-4abb-b318-73c9f334ae74","1249.44","Grupo de control"
"d57deb00-703d-4452-acbd-ffa42b5b78df","2017.96","Grupo de control"
"7c913567-fa2b-4b97-baf6-1bcebedab726","805.09","Grupo de control"
"4c4f6ad9-84ef-40c1-a5e1-87d64022ee4e","382.66","Grupo de control"
"5a894662-bbee-44ea-8207-0dfa05786ebc","446.83","Sin asignar"
"83b77e41-7273-4a4a-96d3-7107cb4a8aef","795.69","Grupo de control"
"ac7fa008-ceb8-4e3c-958e-a370d77cbe8c","1792.93","Grupo de control"
"b6a71d57-7535-445d-8bb3-515032aca569","589.42","Sin asignar"
"d502e86f-0e88-4a14-a8bb-73539b726cff","413.3","Grupo de control"
"e4107a29-f1fc-4016-a1a1-b6b3f5494eda","164.65","Sin asignar"
"efe419cf-0172-43f8-a860-5e7ffd025d7e","2675.64","Sin asignar"
